Contract_Title,Contract_Value,Supplier_Name,Award_Date,matched_sponsor,Town/City,Route
External Legal Services,870000.0,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,2025-10-28,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,Birmingham,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Thurston Community College - PCSA (con_29632),3497808.08,BOWMER & KIRKLAND LTD,2025-10-24,BOWMER & KIRKLAND LTD,Belper,Skilled Worker
"GB-Milton Keynes: Provision and Lease of Franking Machines, Mailroom Equipment, and Associated Consumables",42000.0,QUADIENT UK LIMITED,2025-10-24,QUADIENT UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Provision of Oracle Technical Support Services,30310.28,ORACLE CORPORATION UK LIMITED,2025-10-23,ORACLE CORPORATION UK LIMITED,Reading,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Demolition and enabling works contract for The Tropicana,450417.0,OVERBURY PLC,2025-10-22,OVERBURY PLC,London,Skilled Worker
DN763872 - Electrical Safety Programme Contract A (North of the borough),2174820.0,NRT BUILDING SERVICES GROUP LTD,2025-10-21,M GROUP SERVICES,Stevenage,Skilled Worker
"Asbestos, Legionella & Mould RA L1.1 Nov25  - Eden Housing Association - awarded",155805.99,TERSUS CONSULTANCY LTD,2025-10-21,ERS CONSULTANCY LTD,Watford,Skilled Worker
PAN3414 - Duns Lane/Braunstone Gate,97148.85,HOLCIM,2025-10-21,HOLCIM UK LIMITED,Markfield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Godstone SEROC Construction Contract,10827286.0,TILBURY DOUGLAS CONSTRUCTION LIMITED,2025-10-20,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
DR services,108000.0,SECURITY SOFTWARE SOLUTIONS LTD,2025-10-20,AB SOFTWARE SOLUTIONS LTD,LUTON,Skilled Worker
HDS Access to Work DISC Refactor Build,2200000.0,IBM UNITED KINGDOM LTD,2025-10-20,BIM UNITED KINGDOM LTD,Bolton,Global Business Mobility: Graduate Trainee
No Access Stock condition Surveys,134190.0,RAPLEYS LLP,2025-10-19,RAPLEYS LLP,Huntingdon ,Skilled Worker
Refurbishment of Hillingdon Civic Centre Quadrants 3E & 3S,130680.0,ALLEN CONSTRUCTION CONSULTANCY LIMITED,2025-10-19,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
TEN-2324-016 Call-Off Contract [2],488100.0,-	HYMANS ROBERTSON LLP,2025-10-17,HYMANS ROBERTSON LLP,London,Skilled Worker
TEN-2324-016 Call-Off Contract [2],488100.0,HYMANS ROBERTSON LLP,2025-10-17,HYMANS ROBERTSON LLP,London,Skilled Worker
Horndean CE Junior School - PCSA (con_29628),818220.31,WILLMOTT DIXON CONSTRUCTION LTD,2025-10-16,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
Contingency Response Programme - Package 3,245680004.75,KIER CONSTRUCTION LIMITED,2025-10-13,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
W169502 Workforce Transformation Assurance Services,2957037.0,CAPGEMINI UK PLC,2025-10-13,CAPGEMINI UK PLC,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
36564 Keyham Lodge,26910.0,ONE EXPRESS,2025-10-10,ALL IN ONE EXPRESS,Liverpool,Skilled Worker
MWF - Lot 6 (DA) - Petersfield Library - Boiler Flue Remedial Works - AWARD,6823.06,INDUSTRIAL (BOILER & CONTRACT) SERVICES LTD,2025-10-10,NP INDUSTRIAL SERVICES LTD,Bathgate,Skilled Worker
36565 Children's Hospital,33228.0,SKYLINE TAXIS,2025-10-10,SKYLINE TAXIS TEESIDE LIMITED,Stockton-on-Tees,Skilled Worker
36561 - SPARK VALE ACADEMY,25740.0,EVEREST TAXIS,2025-10-10,EVEREST TAXIS LIMITED,Leicester,Skilled Worker
Homes England - Annual Subscription for Beauhurst Impact (G-CLoud 14 Lot:2),73500.0,BEAUHURST,2025-10-10,BEAUHURST,London,Skilled Worker
Five Rivers Multi-Academy Trust Primary Alternative Provision,1387750.0,FIVE RIVERS MULTI ACADEMY TRUST,2025-10-10,RIVERS MULTI ACADEMY TRUST,Sawbridgeworth,Skilled Worker
"MWF Lot 1 Main Kitchen Refurbishment, Kershaw Day Centre - AWARD",65292.91,B & M CLARK (BUILDERS) LTD,2025-10-10,M B (S) BUILDERS LTD,London,Skilled Worker
S30006 Road Safety Guidance,97304.3,OVE ARUP,2025-10-10,OVE ARUP AND PARTNERS INTERNATIONAL LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Pan London Sexual Violence Support Service,65387492.0,THE NIA PROJECT,2025-10-09,THE NIA PROJECT,London,Skilled Worker
Pan London Sexual Violence Support Service,65387492.0,RESPOND,2025-10-09,QUICK RESPOND SECURITY LTD,Newcastle upon Tyne,Skilled Worker
Health and financial claims in programming - audience attitudes to potential harm,131695.0,IPSOS UK,2025-10-09,IPSOS MORI UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Contract Award,750000.0,JONES LANG LASALLE,2025-10-09,JONES LANG LASALLE LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Asbestos Services,240000.0,TERSUS CONSULTANCY LTD,2025-10-08,ERS CONSULTANCY LTD,Watford,Skilled Worker
Professional Services - Technical Advisor CDC Boston,42200.0,HULLEY AND KIRKWOOD CONSULTING ENGINEERS LIMITED,2025-10-08,HULLEY & KIRKWOOD CONSULTING ENGINEERS LTD,Glasgow,Skilled Worker
Dutch River (left-bank): Went Outfall to River Ouse Confluence (Design Support),62574.0,OVE ARUP & PARTNERS LIMITED,2025-10-06,L & L PARTNERS LIMITED,Stockton-On-Tees,Skilled Worker
IP&EMPI (HealthShare and IRIS for Health Licenses) and DMS-IX (IRIS for Health Licenses) FY25-30,6173707.0,INTERSYSTEMS CORPORATION,2025-10-03,INTERSYSTEMS,Windsor,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
HMLR701062 - Employee Assistance Programme (EAP),180000.0,PEOPLE ASSET MANAGEMENT LIMITED,2025-10-02,TS ASSET MANAGEMENT LIMITED,Greater London,Skilled Worker
Contract Award Notice for Contract 715210450_Smarter Working Furniture,168522.7,WAGSTAFF BROTHERS LIMITED,2025-10-02,S BROTHERS LIMITED,Hampshire,Skilled Worker
People Survey 25/26 Extension,41034.0,WORKDAY LIMITED,2025-10-01,WORKDAY (UK) LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Stock Condition Surveys,4500000.0,ARK CONSULTANCY LTD,2025-10-01,ARK CONSULTANCY LTD,Birmingham,Skilled Worker
Data Warehouse Expansion,96652.02,DELL CORPORATION LIMITED,2025-10-01,DELL CORPORATION LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Asset Management System - Yotta,58230.38,CAUSEWAY TECHNOLOGIES LTD,2025-10-01,CAUSEWAY TECHNOLOGIES LTD,Gerrards Cross,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Stock Conditions Survey,1028582.0,BAILY GARNER,2025-10-01,BAILY GARNER LLP,London,Skilled Worker
Fidelity Guarantee Insurance,33670.56,ZURICH INSURANCE,2025-09-30,ZURICH INSURANCE GROUP,Swindon,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"EE334, 0900 2025-09-25, Mellis to Occold Primary School (4 seats) - AWARD",102075.6,UNIVERSAL CABS LTD,2025-09-26,UNIVERSAL CABS LTD,Ipswich,Skilled Worker
"QIP931 0900 2025-09-25 Woodbridge - Include, Ipswich (4-seated vehicle and a PA required) - AWARD",79839.9,ROYAL RIDES,2025-09-26,ROYAL RIDES,Ipswich,Skilled Worker
LCF14 - Calthorpe Park Play Area Improvement Works - AWARD,145079.0,HAYSTOUN CONSTRUCTION LTD,2025-09-25,HAYSTOUN CONSTRUCTION LTD,Kenilworth,Skilled Worker
Homes England - Hodson's Mill - Property Services,60000.0,MONTAGU EVANS,2025-09-24,MONTAGU EVANS LLP,London,Skilled Worker
RUGCON - Work Services Unit Depot Reconfiguration,133198.51,O'BRIEN CONTRACTORS LIMITED,2025-09-18,MK CONTRACTORS LIMITED,Bedfordshire,Skilled Worker
Purchase of HP Workstations,29000.0,XOS GROUP LIMITED,2025-09-16,XODUS GROUP LIMITED,ABERDEEN,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Probate Researchers Services,125000.0,FRASER AND FRASER,2025-09-15,PANICKER AND FRASER LTD,Haverfordwest,Skilled Worker
Purchase of Three (3) x Medium Sized Cars and Six (6) x Small Cars,152655.44,TOYOTA GB LIMITED,2025-09-15,TOYOTA,Derby,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
PAHT - Paediatric Emergency Department Construction Stage Quantity Surveying,50000.0,CASTONS CONSULTING LIMITED,2025-09-15,CASTONS CONSULTING LIMITED,London,Skilled Worker
Secondment personnel supply,45000.0,ASHURST LLP,2025-09-12,ASHURST LLP,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Restart Scheme Extension Customer Satisfaction Survey,256149.0,IFF RESEARCH LTD,2025-09-12,IFF RESEARCH LTD,London,Skilled Worker
CA15266 - Communications Solutions,3000000.0,EXCHANGE COMMUNICATIONS LIMITED,2025-09-11,5G COMMUNICATIONS LIMITED,High Wycombe,Skilled Worker
CA15266 - Communications Solutions,3000000.0,DAISY COMMUNICATIONS,2025-09-11,DAISY COMMUNICATIONS LTD,Brierfield,Skilled Worker
CA15266 - Communications Solutions,3000000.0,TALK STRAIGHT LTD,2025-09-11,TALK STRAIGHT LTD,Ilkley,Skilled Worker
HRA Right to Buy Valuations,28000.0,HORTS ESTATE AGENCY LIMITED,2025-09-11,AA ESTATE AGENCY LIMITED,London,Skilled Worker
CA15266 - Communications Solutions,3000000.0,AVOIRA LIMITED,2025-09-11,AVOIRA LIMITED,Bury,Skilled Worker
CA15266 - Communications Solutions,3000000.0,GLIDE,2025-09-11,GLIDE N SLIDE LTD,Otley,Skilled Worker
CST025-108 Provision of Apprenticeship (Solicitor Level 7),81000.0,NOTTINGHAM TRENT UNIVERSITY,2025-09-11,NOTTINGHAM TRENT UNIVERSITY - HUMAN RESOURCES,Nottingham,Government Authorised Exchange  / Skilled Worker
"QIP878 0900 2025-09-11 Ipswich to Thomas Wolsey Ormiston Academy, Thomas Wolsey School, Defoe Rd, Ipswich IP1 6SG (6-seater vehicle with electric tail lift and Passenger assistant) - AWARD",142500.0,ALBANY TRAVEL (IPSWICH) LTD,2025-09-11,ALBANY,IBSTONE,Skilled Worker
LCF13R - Queen's Park Landscape Improvements - LCF 2024-28 - AWARD,73611.0,HAYSTOUN CONSTRUCTION LTD,2025-09-11,HAYSTOUN CONSTRUCTION LTD,Kenilworth,Skilled Worker
RDE868 - Development of novel DNA-based metrics and indicators to assess the eco,31963.81,UK CENTRE FOR ECOLOGY & HYDROLOGY (UKCEH),2025-09-10,UK CENTRE FOR ECOLOGY & HYDROLOGY,Wallingford,Government Authorised Exchange  / Skilled Worker
RDE912 - Ammonia from road traffic - further assessment of modelling methodologi,24907.5,BUREAU VERITAS UK LIMITED,2025-09-10,BUREAU BUREAU LIMITED,London,Skilled Worker
ITEP1026 SWIS Severe Weather Information Service,936513.0,CIVICA UK LTD.,2025-09-10,CIVICA UK LTD,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Provision of Personal Protective Equipment (PPE) in Approved FSA Establishments,1873444.6,ARCO LIMITED,2025-09-10,PICCOLO ARCO LIMITED,Wokingham,Skilled Worker
Fortis Academy - PCSA (con_29636),4383480.52,BOWMER & KIRKLAND LTD,2025-09-08,BOWMER & KIRKLAND LTD,Belper,Skilled Worker
CSP25348 - Administrator,26984.16,REED SPECIALIST RECRUITMENT  LIMITED,2025-09-08,REED SPECIALIST RECRUITMENT LIMITED,Raynes Park,Skilled Worker
CSP25347 - Administrator,30624.88,REED SPECIALIST RECRUITMENT  LIMITED,2025-09-08,REED SPECIALIST RECRUITMENT LIMITED,Raynes Park,Skilled Worker
Credit Checking Service for Government Gateway,1200000.0,EQUIFAX LIMITED,2025-09-05,EQUIFAX LIMITED,Leeds,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
NDA/C17430/13 -  Pu Active SEM,114835.96,NATIONAL NUCLEAR LABORATORY,2025-09-05,UNITED KINGDOM NATIONAL NUCLEAR LABORATORY,Warrington,Government Authorised Exchange  / Skilled Worker
1997 IT Hardware for NHS Black Country Integrated Care Board,57395.9,CDW LIMITED,2025-09-04,CDW LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"QIP393 2025-08-28 (0900) Felixstowe to Kesgrave High School, Kesgrave (4 seated vehicle) - AWARD",23560.0,CABS SMART,2025-09-03,QASIM ENTERPRISE LTD T/A SMART CABS NORWICH,Norwich,Skilled Worker
Homecare framework,95000000.0,SUPREME COMPANY AND SONS LTD (T/A SUPREME HOME CARE),2025-09-01,CARE SUPREME LTD,London,Skilled Worker
Homecare framework,95000000.0,CARONNE CARE LTD,2025-09-01,CARONNE CARE,Basildon,Skilled Worker
Homecare framework,95000000.0,DE VERE CARE PARTNERSHIP LTD,2025-09-01,DE VERE CARE PARTNERSHIP LTD,London,Skilled Worker
Homecare framework,95000000.0,ASPIRE CARE SERVICES,2025-09-01,ASPIRE CARE SERVICES LTD,London,Skilled Worker
Homecare framework,95000000.0,SHREEJI INC LTD,2025-09-01,SHREEJI INC LTD,Rainham,Skilled Worker
Homecare framework,95000000.0,HOME SWEET HOME CARE LIMITED,2025-09-01,HOME SWEET HOME CARE LIMITED,ROMFORD,Skilled Worker
Homecare framework,95000000.0,STAR CARE UK LTD,2025-09-01,STAR CARE UK LTD,Ilford,Skilled Worker
Drainage,100000.0,RE-GEN (UK) CONSTRUCTION LTD,2025-09-01,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
Umbraco Support and Maintenance,42000.0,NEXER DIGITAL LTD,2025-09-01,NEXER DIGITAL LTD,Macclesfield,Skilled Worker
NDA/C17430/14 - Technical Knowledge Exchange Meeting,28161.44,NATIONAL NUCLEAR LABORATORY,2025-09-01,UNITED KINGDOM NATIONAL NUCLEAR LABORATORY,Warrington,Government Authorised Exchange  / Skilled Worker
RDE915 - Modelling the plausible locations of sanctuary zones for red throated,89980.0,HOWELL MARINE CONSULTING,2025-09-01,HOWELL MARINE CONSULTING LIMITED,Morpeth,Skilled Worker
Provision of Digital Accessibility Services,150000.0,DIGITAL ACCESSIBILITY CENTRE,2025-08-29,THE DIGITAL ACCESSIBILITY CENTRE LIMITED,Llandarcy,Skilled Worker
Tail Spend Solution,600000.0,UNITE PROCUREMENT UK LTD,2025-08-29,UNITE,Birmingham,Charity Worker 
Asbestos Awareness Training - CF Awarded Contract,61000.0,LUCION SERVICES LIMITED,2025-08-28,LUCION SERVICES,Gateshead,Skilled Worker
Minor Works Framework: Construction 2024,0.0,SCOPE CONSTRUCTION LTD,2025-08-27,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
Minor Works Framework: Construction 2024,0.0,BROWN AND SHAW (BUILDERS) LIMITED,2025-08-27,K & K BUILDERS LIMITED,WEMBLEY,Skilled Worker
Minor Works Framework: Construction 2024,0.0,7 FORMATION LIMITED,2025-08-27,ELEVATE BUSINESS FORMATION LIMITED,Liverpool,Skilled Worker
Minor Works Framework: Construction 2024,0.0,OLIVETI CONSTRUCTION LIMITED,2025-08-27,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
Minor Works Framework: Construction 2024,0.0,TANWOOD CONSTRUCTION LIMITED,2025-08-27,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,JOHN PALIN (WHOLESALE) LTD,2025-08-26,N WHOLESALE LTD,Birmingham,Skilled Worker
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,JOHAL DAIRIES LIMITED,2025-08-26,JOHAL DAIRIES LIMITED,Wolverhampton,Skilled Worker
"QIP126 0900 2025-08-26  Ipswich to Parkside Academy, Lindbergh Road, IP3 9FA (4 seater vehicle required) - AWARD",12730.0,UNIVERSAL CABS LTD,2025-08-26,UNIVERSAL CABS LTD,Ipswich,Skilled Worker
Mural Enterprise Licences 2025/26,34086.0,ECONOCOM PRODUCTS & SOLUTIONS UK LIMITED,2025-08-26,O9 SOLUTIONS UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
1991 IT Hardware for NHS Arden and Greater East Midlands CSU,14850.0,DELL CORPORATION LIMITED,2025-08-20,DELL CORPORATION LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
RDE857 - Benefits of underwater structures to cuttlefish egg survival,77000.0,UNIVERSITY OF PLYMOUTH,2025-08-19,UNIVERSITY OF PLYMOUTH,Plymouth,Government Authorised Exchange  / Skilled Worker
"QFX003 0900 2025-08-18 IPSWICH to PROJECTION EDUCATION, FELIXSTOWE FERRY CENTRE, FERRY ROAD, IP11 9RT (4seater vehicle required)  - AWARD",15960.0,CABS SMART,2025-08-18,QASIM ENTERPRISE LTD T/A SMART CABS NORWICH,Norwich,Skilled Worker
PAN3418 - New Slab Design,139535.0,DANAHER & WALSH (CIVIL ENGINEERING) LTD,2025-08-15,BB CIVIL ENGINEERING LTD,Luton,Skilled Worker
Security tender 2025-2028,48020.0,BRYAN ENTERPRISE LTD TRADING AS SECURITY SERVICES,2025-08-12,BD SECURITY SERVICES LTD,Dagenham,Skilled Worker
"Further competition against RM6175 Records Information Management, Digital Solutions and Associated Services Lot 1: Records Information Management Services - AWARD",521597.0,RESTORE RECORDS MANAGEMENT,2025-08-12,RESTORE,Barnt Green,Skilled Worker
Decorations Framework Lot 2 DA -  External Decorations and Repairs 7-24 - Various Properties - AWARD,160207.45,IAN WILLIAMS,2025-08-12,IAN WILLIAMS RACING LTD,Birmingham,Skilled Worker
CA15026 - Havant & South Downs College - Cleaning Services,3682786.45,BRAYBORNE FACILITIES SERVICES,2025-08-12,BRAYBORNE FACILITIES SERVICES LIMITED,Wokingham,Skilled Worker
RFI 273 Oldbury - Auto-SAS Building Facility Planning Application,44011.0,AVISON YOUNG,2025-08-12,AVISON YOUNG (UK) LIMITED,Birmingham,Skilled Worker
AI Proof of Concept Services to Support EU Reset,1500000.0,FACULTY SCIENCE LIMITED,2025-08-11,FACULTY SCIENCE LIMITED,London,Skilled Worker
CPT_25_30 - Decarbonisation Project - Mechanical & Electrical  Engineering Services (C-4014),66000.0,RIDGE AND PARTNERS LLP,2025-08-10,RIDGE AND PARTNERS LLP,Woodstock,Skilled Worker
PAN3415 - Gleneagles Av Bridge Maintenance Scheme,260439.61,DANAHER & WALSH (CIVIL ENGINEERING) LTD,2025-08-08,BB CIVIL ENGINEERING LTD,Luton,Skilled Worker
BTH25-203 Pharmacy Blood labelling Isolator,93386.0,ENVAIR LIMITED,2025-08-07,VENAIR LIMITED,Glasgow,Skilled Worker
Green Home Initiative - ARC - Phase 9,477027.48,ARC GROUP LONDON LIMITED,2025-08-06,MA GROUP LONDON LIMITED,London,Skilled Worker
Green Home Initiative - ARC - Phase 12,474878.62,ARC GROUP LONDON LIMITED,2025-08-06,MA GROUP LONDON LIMITED,London,Skilled Worker
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,EDEN ADAPTIONS LTD,2025-08-05,EDEN ADAPTIONS,Birmingham,Skilled Worker
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,CARDO (CENTRAL) LIMITED,2025-08-05,CENTRAL CARE LIMITED,Leeds,Skilled Worker
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,A.S PLUMBING AND BATHROOMS LTD,2025-08-05,"DUDLEY PLASTICS, PLUMBING AND BATHROOMS LTD",Dudley,Skilled Worker
Iken Call-off from G-Cloud 14 Framework  Agreement (RM1557.14),145400.0,IKEN BUSINESS LTD,2025-08-04,IKEN BUSINESS LTD,Bristol,Skilled Worker
NEA - CDF - Butteryhaugh - OBC-FBC - Lot 1 Detailed Design,385799.6,OVE ARUP & PARTNERS LIMITED,2025-08-04,L & L PARTNERS LIMITED,Stockton-On-Tees,Skilled Worker
"QOC789 09:00 2025-08-04 Mildenhall, Suffolk to Gretton School, Girton, Cambridgeshire - AWARD",118702.5,CAMBRIDGE AND HUNTINGDON AIRPORT TRAVEL SERVICE,2025-08-04,CAMBRIDGE & HUNTINGDON AIRPORT TRAVEL SERVICE LTD,Cambridge,Skilled Worker
"2025-08-01 09:00 - QOC785 Beccles to Chapel Green School, Old Buckenham, Norfolk - AWARD",348080.0,LONDON HIRE COMMUNITY SERVICES LTD,2025-08-04,RH COMMUNITY SERVICES LTD,Bolton ,Skilled Worker
"2025-08-01 09:00 - QOC785 Beccles to Chapel Green School, Old Buckenham, Norfolk - AWARD",348080.0,ANDALUSIA TRADING LTD  T/A ROADRUNNER TAXIS,2025-08-04,R.A .TRADING LTD,London,Skilled Worker
CVLR Demonstrator - Subway Optioneering,95000.0,PERFECT CIRCLE JV LTD,2025-08-03,CIRCLE,London,Skilled Worker
Crossing the Border - Service Integrator,18500000.0,KPMG LLP,2025-08-01,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Data Centre Technical Advisory Services (Multidisciplinary) - RIBA Stage 4, 5, 6 & 7",72000.0,RIDGE AND PARTNERS LLP,2025-08-01,RIDGE AND PARTNERS LLP,Woodstock,Skilled Worker
Provision of Construction Works & Associated Services 3 (CWAS3),49200.0,ATKINSRÉALIS UK LIMITED,2025-07-31,ATKINSREALIS UK LIMITED,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Legal Advice,256000.0,MILLS & REEVE LLP,2025-07-31,MILLS & REEVE LLP,Cambridge,Skilled Worker
Project_4850 Research - Potentially harmful OCA online practices,79925.0,REVEALING REALITY,2025-07-31,REVEALING REALITY,London,Skilled Worker
QOC405 0900 2025-07-28 BSE to Meldreth Manor School (4seater vehicle with Passenger Assistant required) - AWARD,136771.5,CAMBRIDGE AND HUNTINGDON AIRPORT TRAVEL SERVICE,2025-07-28,CAMBRIDGE & HUNTINGDON AIRPORT TRAVEL SERVICE LTD,Cambridge,Skilled Worker
"Disposal of Cannabis, Nitrous Oxide and knives",80000.0,AC ENVIRONMENTAL CONSULTING LTD,2025-07-28,N CONSULTING LTD,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
UKSBS Employment Legal Advice,113500.0,DAC BEACHCROFT LLP,2025-07-28,DAC BEACHCROFT LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Quail AI,108000.0,QUANTIUM HEALTH LIMITED,2025-07-25,QUANTIUM LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Provision of Fixed Line and Direct Routing Services to The DfE,264178.72,GAMMA TELECOM LIMITED,2025-07-24,GAMMA TELECOM HOLDINGS LIMITED,London,Skilled Worker
Firewalling Solution 2025,2291676.47,CDW LIMITED,2025-07-24,CDW LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
S233 Mainstream Taxi To Kibworth mead Academy and Church Langton Primary School,11206.2,HMB (LEIC) LTD,2025-07-23,HMB (LEIC) LTD,LEICESTER,Skilled Worker
Kent Food Waste Project,159250.0,LETTERBOX DISTRIBUTION LIMITED,2025-07-22,SR DISTRIBUTION LIMITED,Luton,Skilled Worker
Professional Services,61813.9,LA INTERNATIONAL COMPUTER CONSULTANTS LIMITED,2025-07-22,LA & LA LIMITED,Dudley,Skilled Worker
"Learning, performance and recruitment software",696538.03,CORNERSTONE ONDEMAND LIMITED,2025-07-21,CORNERSTONE ONDEMAND LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
BSMHFT Hyland Onbase Maintenance and Support,125860.58,HYLAND UK OPERATIONS LIMITED,2025-07-18,HYLAND UK OPERATIONS LIMITED,Maidenhead,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Local Transport Data Collection Alpha/Beta,263239.0,METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,2025-07-18,METHODS BUSINESS AND DIGITAL TECHNOLOGY,London,Skilled Worker
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,MAY'S HUB LTD (T/A MY THERAPY SERVICES LTD),2025-07-17,T.N.S.A SERVICES LTD,Manchester,Skilled Worker
Workforce Solutions,732000000.0,ALEXANDER MANN SOLUTIONS LTD (AMS),2025-07-15,AMS,Cupar,Charity Worker 
Corporate Security Services,24000000.0,CARLISLE SECURITY SERVICES LIMITED,2025-07-12,M SECURITY SERVICES LIMITED,Birmingham,Skilled Worker
Investment Programme 2025/26,328750.0,PA CONSULTING SERVICES LTD,2025-07-11,PKM CONSULTING SERVICES LTD,Farnborough,Skilled Worker
Lot 4b - Wheelchair Accessible with Passenger Assistant for Out of County area closing 10 July 2025 (F1),195912.8,LANX PRIVATE AMBULANCE SERVICE LTD.,2025-07-11,LANX LTD,Ilford,Skilled Worker
MWF - Lot 1 - Wallop Primary School - Doors replacements - AWARD,5942.2,JC RAE DECORATING LTD,2025-07-11,J & J DECORATING LTD,Banbury,Skilled Worker
M&E consultant refurbishment of London metropolitan archives,200000.0,BRINSON STANILAND PARTNERSHIP LTD,2025-07-11,BRINSON STANILAND PARTNERSHIP,Bromley,Skilled Worker
Bromsgrove Supply of Plastic Wheeled Bins via YPO 1135 lot 3,2000000.0,CRAEMER UK LIMITED,2025-07-11,CRAEMER UK LIMITED,Telford,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
CA14802 - MyKarbon Customer Portal App for Karbon Homes,2116782.0,PLENTIFIC LTD,2025-07-11,PLENTIFIC,London,Scale-up / Skilled Worker
CA14415 - Learning Management System for Karbon Homes,402750.0,KALLIDUS LIMITED,2025-07-11,KALLIDUS LIMITED,Bristol,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Animal Care Minor Building, Roofing and Refurbishment works  - AWARD",261009.0,DAVLYN CONSTRUCTION LTD,2025-07-11,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
Ministry of Justice - Evaluation Pre-requisites: Research into Group Victim Support Interventions,179184.0,NATIONAL CENTRE FOR SOCIAL RESEARCH,2025-07-10,NATIONAL CENTRE FOR SOCIAL RESEARCH,London,Skilled Worker
LNA - Lower Witham - Designer Construction Support - CDF Lot 1,69161.41,OVE ARUP & PARTNERS LIMITED,2025-07-10,L & L PARTNERS LIMITED,Stockton-On-Tees,Skilled Worker
Vetting Solutions Tender,210000.0,"REED SPECIALIST RECRUITMENT LIMITED,",2025-07-10,REED SPECIALIST RECRUITMENT LIMITED,Raynes Park,Skilled Worker
RAM Fixed Asset Register software,170000.0,MRI SOFTWARE LIMITED,2025-07-10,MRI SOFTWARE LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
WP180 Vehicle Emissions Programme - Lot 2,155486.1,HORIBA MIRA,2025-07-09,HORIBA MIRA LTD,Nuneaton,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
YAS 44 2025_26 (DA FW) Containers Hire,42618.0,ALGECO UK LIMITED,2025-07-07,ALGECO UK LIMITED,Stockton-on-Tees,Skilled Worker
"Invitation to Tender - Chorley Town Centre,Civic Square Development",254858.74,KIER CONSTRUCTION LIMITED,2025-07-07,HG CONSTRUCTION LIMITED,HITCHIN,Skilled Worker
