project_id,title,status,start_date,lead_organisation
C5E3BE66-3878-4DA5-9ECB-F5505BA588CA,HAVE WE MET BEFORE? PREDICTING FACE LEARNING OUTCOME VIA INDIVIDUAL DIFFERENCES AND SITUATIONAL FACTORS.,Active,,DURHAM UNIVERSITY
829FC560-4348-4C4E-B3E7-F678939EE404,Creating and comprehending the circuitry of life: precise biomolecular design of multi-centre redox enzymes for a synthetic metabolism,Active,,UNIVERSITY OF BRISTOL
82E21DAD-ED1C-4C8D-B2F5-F5412976A8D9,Use of the Pentateuch in Mark: locating the gospel within Second Temple Judaism,Active,,UNIVERSITY OF CAMBRIDGE
82E8F823-9F8F-4772-BE7D-F6FD3BA5365D,"Airborne microplastic detection and quantification - developing, evaluating, and applying novel laboratory and field-based approaches",Active,,IMPERIAL COLLEGE LONDON
1DC08E5F-265E-4CB0-A540-F552CAFAE7AB,Inverse analysis of explosions in complex urban environments.,Active,,UNIVERSITY OF SHEFFIELD
1EF2F0D6-43EB-4B34-AD8F-F6EA6DEC0474,What are the costs and benefits associated with different labour market policies in the employment of disabled individuals?,Active,,Unknown
A9C94679-492F-480B-BA44-F6BBA447DFD7,How is positional information encoded in development,Active,,UNIVERSITY OF SHEFFIELD
AAB5B9A8-6213-489D-AF16-F5281015F31E,Nanobody technology: feeding target authentication and mitigation strategies in crop protection.,Active,,UNIVERSITY OF SOUTHAMPTON
8D7FA5EF-D358-48D1-A930-F5FF25C88EA7,Forced Migration and the Production of Everyday Spaces in Arrival Neighbourhoods in England,Active,,UNIVERSITY OF SHEFFIELD
8D8879D5-2499-4017-8CFF-F5984D96DCA6,C-Sink,Active,,MINE ENVIRONMENT MANAGEMENT LTD
8E19D3E2-86BD-4945-9B04-F6C9F3C3F318,Sustainable Water-Injecting Turbofan Comprising Hybrid-electrics (SWITCH),Active,,GOODRICH CONTROLS HOLDING LIMITED
28DF0A87-138C-4E66-A34D-F590DC718730,Aiming for Nature Recovery: Data Science to Inform Biodiversity Conservation and Restoration,Active,,UNIVERSITY OF ESSEX
2A055F9F-0DDB-4BB5-A557-F6289700BC39,low-dimensional topology.,Active,,UNIVERSITY OF SOUTHAMPTON
2A1CACBB-D649-40FA-AA2C-F641153822D4,Quantum effects in gravitational physics,Active,,UNIVERSITY OF SUSSEX
2B001707-2A8D-4D18-A6DC-F6183BBAF511,Mathematical Models of Plasticity,Active,,UNIVERSITY OF WARWICK
B1E67747-52CE-4460-9C89-F578455BE3BC,Experiences of working class students in elite universities: to what extent does attending an elite institution impact class identity and aid social m,Active,,UNIVERSITY OF ST ANDREWS
072DF4E3-EC56-4113-85D3-F68AB0CF20DE,Quantifying the effectiveness of natural flood management in lowland,Active,,UNIVERSITY OF READING
07F798EC-7BFD-4A28-AE68-F6D7F415BE96,Improving heart variability and electrodermal activity measurements from wearable devices for fatigue monitoring,Active,,UNIVERSITY OF LIVERPOOL
0848655D-B813-4846-8D3C-F650C1181033,"FOODCLIC - integrated urban FOOD policies – developing sustainability Co-benefits, spatial Linkages, social Inclusion and sectoral Connections to transform food systems in city-regions",Active,,UNIVERSITY OF SURREY
8FD8E9CE-3E40-4FF5-8C5B-F70059C8204B,Episodic Memory: Uniquely Human?,Active,,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
9161A9F6-30CD-45D1-805C-F65D53691C42,"Dissonant Histories in South Asia's Museums: Memory, Religion and Politics in the '1947 Partition Memorialisation Project' in India",Active,,UNIVERSITY OF MANCHESTER
782CE499-D8A7-4342-9D8F-F5B433F5B021,Novel antibiotics free prophylactic topical inwound applied formulation for combating biofilms improving orthopaedic surgical wound healing BioBride,Active,,UNIVERSITY OF SURREY
7A24444D-6E59-413A-B6AA-F67B0E199D27,High-speed optical fibre switches for quantum photonic networks.,Active,,UNIVERSITY OF SOUTHAMPTON
7AEF76EB-F682-422B-8594-F5A1B3BD4A15,A hybrid in-silico/in-vitro approach for integrated design and optimisation of large-molecule crystallisation,Active,,IMPERIAL COLLEGE LONDON
7B3C826C-3714-4D86-9441-F5991E66CC6A,Global Centers Track 1: Electric Power Innovation for a Carbon-free Society (EPICS),Active,,IMPERIAL COLLEGE LONDON
1344E2A3-604C-442E-B7F1-F6B6E2E9EAE9,Metasurfaces for Quantum Systems,Active,,UNIVERSITY OF BIRMINGHAM
13C37540-9626-4EEC-B16B-F57B07E29BC5,Transforming Paediatric Insomnia: A New Sleep Solution for Children to Improve NHS Patient Outcomes,Active,,BRAINTRAIN2020 LIMITED
144F2750-6CC5-4B72-9FAD-F55CAEBE13B6,"Stories in Stones: Mines, Memory and the Geological Imagination in the Anthropocene",Active,,NOTTINGHAM TRENT UNIVERSITY
9CF98D23-95B7-4353-8550-F602B298DFB4,Developing tools to catalogue emissions from thermal events in Li-ion batteries,Active,,UNIVERSITY COLLEGE LONDON
9DF0233D-C937-4222-A042-F5DEE85D574C,3DFace@Home: A pilot study for robust and highly accurate facial 3D reconstruction from mobile devices for facial growth monitoring at home,Active,,UNIVERSITY OF DUNDEE
81DAB5A9-2FE4-401D-9F50-F529A7287065,Targeting potassium channels in oligodendrocytes to maintain myelin and a healthy brain across the lifespan,Active,,UNIVERSITY OF PORTSMOUTH
81ECB454-AF0E-4ED1-AC7E-F5D9130C4843,Addressing the Roman Colonial Story in South-East Wales,Active,,CARDIFF UNIVERSITY
7C5C64C8-3C15-4122-A14F-F67E20C06721,Sample Size calculations for UPDATing clinical prediction models to Ensure their accuracy and fairness in practice (SS-UPDATE),Active,,UNIVERSITY OF BIRMINGHAM
7DEA0B9C-2522-41F4-B017-F520080B5C90,Multiscale modelling of antimicrobial resistance (AMR) evolution in fungal hyphal networks,Active,,UNIVERSITY OF MANCHESTER
7E3E1249-306C-4260-8D4C-F67828F48B42,Strong electron-nuclear correlations in materials with electronic quantum phase transitions,Active,,DURHAM UNIVERSITY
7ED1A437-64B0-4740-97F6-F638A882E6A1,Renewing the utility of fossil evidence for the rise of eukaryotes,Active,,Unknown
7F0AD21A-A4A2-4820-B07E-F5827B64228C,PRECISE-AI: Probabilistic reasoning with circuits for safe and explainable artificial intelligence,Active,,KING'S COLLEGE LONDON
61F5DE08-4349-4CB8-8773-F5780D76D958,Elasticity: on the interface between statics and dynamics,Active,,UNIVERSITY OF SUSSEX
62BB0D2F-2EA3-46C2-9DF7-F57699967473,"Light, temperature and circadian clock signal integration during leaf senescence",Active,,JOHN INNES CENTRE
6366085D-8947-48B7-A158-F676DD13113C,36v low surface heat infrared heating system SAP accreditation pathway and testing,Active,,ENERGY CARBON LIMITED
63F240F8-3A52-4C7D-A5B1-F58B9D815F58,Enhanced adsorption-biodegradation processes for the removal of pesticides in drinking water in Brazil,Active,,UNIVERSITY OF GLASGOW
653DD151-163F-4E72-A90D-F5157D4E11C9,Environmental Transmission Electron Microscopy for Sustainable Materials Development: Modifying the Photocatalytic Properties of TiO2,Active,,UNIVERSITY OF YORK
