Contract_Title,Contract_Value,Supplier_Name,Award_Date
"QHL109 09:00 2026-02-05 Ipswich, Suffolk to Churchill Special Free School, Haverhill, Suffolk - AWARD",44688.0,HUNTEREXPRESS LTD,2026-02-06
"QSB436 0900 2026-02-06 Wetheringsett manor school, Wetheringsett-Cum-Brockford (4-seated vehicle and a PA required) - AWARD",63401.1,UNIVERSAL CABS LTD,2026-02-06
PROVISION OF DIGITAL ANDROID BATTERY A-BOARDS - AWARD,0.0,AVOIRA LIMITED,2026-02-06
CA16699 - CPC/LO/02/2023: Refurbishment of 3G sports pitch,189926.0,BLAKEDOWN SPORT & PLAY LIMITED,2026-02-06
Pre-paid Card Service,80000.0,ALLPAY LIMITED,2026-02-06
Cowcliffe Play Area,43421.3,LANDSCAPE ENGINEERING LTD.,2026-02-06
DJ207DT Dursley to Thornbury,130000.0,STAGECOACH WEST,2026-02-06
"Flooring, WC & Window Works at St Johns Health Centre",95372.0,PETRIC CONTRACTS LIMITED,2026-02-06
CA16421 - CA11274: Estates and Facilities Professional Services & Consultancy Agreement Dynamic Purchasing System (DPS),400000.0,INGLETON WOOD,2026-02-06
MBC-1514 Roofing Replacement for Melton Borough Council via LHC 52190 Roofing Systems and Associated Works Framework (RS5) - Lot 1,178277.94,CWG GROUP LTD,2026-02-06
DNWP0057/LOT1B/NGC Early Engagement,874507.39,ATKINSALTRAD,2026-02-06
"QOC786 0900 2026-02-04 Claydon to Doucecroft School, Colchester, Essex (8-seated vehicle and a PA required) - AWARD",322181.1,A-Z PRIVATE HIRE SERVICES LTD,2026-02-06
"QBE362, 0900 2026-02-05, Glemsford - Lyward Colley Workshops, Bradfield St George (4 seats) - AWARD",3472.7,OPU RAHMAN T/A 786 TAXIS,2026-02-06
Origin ERP Support,0.0,SSS PUBLIC SAFETY LTD  (SSS),2026-02-06
YNE-AOMR-DA-Castle Mills Electricity,44649.09,AMALGAMATED CONSTRUCTION LTD (AMCOGIFFEN),2026-02-06
B Braun Paediatric Camera Stack,35900.0,B. BRAUN MEDICAL LIMITED,2026-02-05
L6 Digital User Experience (UX) Professional,96000.0,MANCHESTER METROPOLITAN UNIVERSITY,2026-02-05
RDE1026 - M4 Hydrological Methods Benchmarking Project - UKFE/ReFH1 MIP Prototyp,12611.0,JEREMY BENN ASSOCIATES LIMITED (T/A JBA CONSULTING),2026-02-05
Skin Preparation Applicators,508374.77,"BECTON, DICKINSON U.K. LIMITED",2026-02-05
Local Transport Data Collection - Govforms,250000.0,GOVFORMS LIMITED,2026-02-05
DDaT26064 - Rack Server,11117.85,DELL CORPORATION LIMITED,2026-02-05
Manufacture & Supply of SRP Products,46200910.33,LTI METALTECH LTD,2026-02-05
Milton Keynes Tariff Schemes - Monkston Roundabout Design,304517.0,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,2026-02-05
DDaT26066 - Rack Server,11117.85,DELL CORPORATION LIMITED,2026-02-05
TEN-2526-038 (PCR15) - Change Enhancement Service,400000.0,SULLIVAN & STANLEY LIMITED,2026-02-03
Supply of Workshop Lathe,43394.95,THOMAS GRAHAM & SONS  LTD,2026-02-02
Call-Off from CCS RM6244 / BLC-FLEET-0020a for 26 x Toyota Vehicles,444745.34,TOYOTA GB LTD,2026-02-01
Call Off Contract from RM6353 for the Provision of Tyres,1600000.0,GOODYEAR TYRES UK LTD,2026-01-31
Culture - Leadership Capability Accelerator programme design and delivery,325000.0,ERNST & YOUNG LLP,2026-01-30
Merton Mental Health and Wellbeing Needs Assessment (MHWNA),35000.0,POPULATION HEALTH LTD,2026-01-30
Pay the BSA Direct Debit Solution,1384000.0,ALLPAY LIMITED,2026-01-29
Employers' perspective of automatic enrolment and Defined Benefit Schemes,73991.34,IFF RESEARCH LTD,2026-01-28
Digital Advertisement and Sponsorship,279921.0,BAUER MEDIA OUTDOOR UK LTD,2026-01-27
Provision of Gas Monitors and Associated Equipment  - AWARD,0.0,DRAEGER SAFETY UK LTD,2026-01-26
Smart Ticketing Services,150000.0,EUCLID LIMITED,2026-01-26
Maintain and Sustain Pre Construction Contract,49574.93,KIER CONSTRUCTION LTD,2026-01-23
Supply and installations of bus shelters in Station Square. Mini competition under DPS ref 2021-019 for Supply and Installation of Bus Stop Infrastructure - AWARD,197400.0,BUS SHELTERS LIMITED,2026-01-22
Fire Alarms and Emergency Lighting Servicing and Maintenance 2026-2030,325813.39,PROTEC FIRE DETECTION PLC,2026-01-21
Observability Cloud Consumption Data,600000.0,APPVIA LTD,2026-01-19
COP33_2025_ Horizon scan: VAWG future trends and challenges,49624.43,BLOOM PROCUREMENT SERVICES LTD,2026-01-19
Review of SCC Fees & Charges,79563.0,COMMERCIAL GOV LTD,2026-01-16
Assurance and Case Management System Platform,500000.0,ENCIRCLE SOLUTIONS LIMITED,2026-01-15
The Provision of UKHSA National Bio-surveillance Network - 25/26,370833.3,KAINOS SOFTWARE LIMITED,2026-01-14
Impact Statements for Nottingham Inquiry,42000.0,TAPESTRY PICTURES LIMITED,2026-01-12
Homes England - Solicitor - Development Loan - Leeds,11477.0,VEALE WASBROUGH VIZARDS,2026-01-12
laptop computers - A call off from LUPC awarded framework agreement (NDNA) ref: ITS5071LU,34800.0,DELL CORPORATION LIMITED,2026-01-09
Apprenticeship Levy DR783166876,66000.0,GINGER NUT MEDIA TA GINGER NUT TRAINING,2026-01-09
36736 Keyham Lodge,44191.0,ASA TRANSPORT,2026-01-09
tNCEA - Morphology Condition Assessment - Phase 1,42115.0,OVE ARUP & PARTNERS LIMITED,2026-01-09
Snowflake Proof of Concept,52000.0,SNOWFLAKE COMPUTING UK LIMITED,2026-01-09
MWF Lot 1 - Brownwich County Farms Estate - Little Brownwich Farm - Farm Buildings Demolition and repairs - AWARD,34252.0,TEW BROTHERS LTD,2026-01-09
"QSB431 0900 2026-01-08 Bury St Edmunds - Centre academy East Anglia, Brettenham (4-seated vehicle and a PA required) - AWARD",171171.0,FIRST STOP TRAVEL EA LIMITED,2026-01-09
Lot 2 - Various Properties - External Decorations Package 4-25 - AWARD,205003.27,RICHARDSON DECORATING CONTRACTORS LTD,2026-01-09
"2026-01-09 09:00 - QHL105 Lavenham to Burton End Primary Academy, Haverhill - AWARD",77035.5,KEMAL  IPEK T/A SMART TRAVEL,2026-01-09
"EXPLORING SAFETY-CRITICAL ISSUES IN WALKING, WHEELING, AND CYCLING",98748.0,MOTT MACDONALD,2026-01-09
WBCSENOB325 - Hamilton School,7488.0,TWENTYFOURSEVEN,2026-01-09
"2026-01-09 09:00 - QOC853 Elmswell to Sheridan School, Northwold, Thetford, Norfolk - AWARD",67345.5,YOURCAB LIMITED,2026-01-09
ITEP0474 - Security & Threat Intelligence 12 month Extension,1228755.0,SECURITY ALLIANCE LTD,2026-01-08
GB-Gateshead: TPPL Gateshead Council NEPO GM & P Lot 1 - 1 x Zero-Turn Mower (29589),15000.0,THOMAS SHERRIFF & CO LTD,2026-01-07
Kitchen Equipment,107000.0,COMPASS SERVICES UK LTD,2026-01-07
TPT134 - Single Customer View Data Platform & CRM - Implementation & Managed Service,1062646.63,PLINC LIMITED,2026-01-06
GB-London: TPPL London Borough of Hackney HCC Lot 4 - 20 x Sweepers (27806),2377718.7,SCARAB SWEEPERS LIMITED,2026-01-06
Office Furniture & Specialist Posture Chairs,140000.0,"H.JENKINSON & COMPANY,LIMITED",2026-01-05
SFG20 Maintenance Software,16242.0,BESA PUBLICATIONS LIMITED,2026-01-05
PAHT - Construction of Steel Frame Structure to support IPS / UPS Installations,138000.0,T & B (CONTRACTORS) LIMITED,2026-01-02
Ansible Automation Platform,43417.2,SPECIALIST COMPUTER CENTRES PLC,2026-01-01
Revs and Bens Data Processing,151200.0,CIVICA UK LIMITED,2025-12-30
Electronic Capacity On Demand (ECOD) Hardware/Software,446500.0,SPECIALIST COMPUTER CENTRES PLC,2025-12-30
PLACE089BO-H Mini Competitions for Road Schemes,54866.9,HOLCIM UK LTD,2025-12-30
WP2309 Docker Licences (GDS Product Group,56982.1,XMA,2025-12-29
Finance Management Solution System Software,1011000.0,UNIT4 BUSINESS SOFTWARE LIMITED,2025-12-24
Aurora Transformation Programme - Workstream 4 - Project Management & Support,20754.08,TURNER & TOWNSEND COST MANAGEMENT LIMITED,2025-12-24
Stage 1 Refurbishment of Former Boots Building (Pharmacy Relocation),843580.0,MORRIS AND SPOTTISWOOD LTD,2025-12-24
GB-Ruthin: TPPL Denbighshire County Council HCC Lot 1 - 1 x 5 Door Electric Hatchback/SUV (28163),26870.52,CITROEN UK LIMITED,2025-12-23
Legal Advice for Telford Court Sale,15000.0,SHARPE PRITCHARD,2025-12-23
AI Social Care Recording Tool,75000.0,BEAM UP LTD,2025-12-23
Hologic Sample Collection Devices,1049237.28,HOLOGIC LTD.,2025-12-23
