Contract_Title,Contract_Value,Supplier_Name,Award_Date
Level 3 Fire Safety Certificate,97375.0,HMFS CONSULTANTS,2025-11-15
Supply of Energy CPA SPU 2697P - AWARD,2473628.0,EDF ENERGY CUSTOMERS LIMITED,2025-11-14
Furniture Assessments,4754.4,CAESAR'S CONSERVATION,2025-11-13
PDF Framework - A120 EB Coggeshall By-Pass Resurfacing SDF RR,164285.24,FM CONWAY,2025-11-13
WP2296 - Terraform Cloud Licences,63146.02,SOMERFORD ASSOCIATES LIMITED,2025-11-13
Scaffolding Provision 2026/2027  - AWARD,2011982.7,J GUNN SCAFFOLDING LTD,2025-11-12
Textile Assessment,4512.0,CAESAR'S CONSERVATION,2025-11-11
US M27 closure Fareham Shopping Centre displays - Marketing,3200.0,CLEAR CHANNEL UK LIMITED,2025-11-11
DEO Edinburgh Garrison Design and Build North Region,142065182.0,JOHN GRAHAM CONSTRUCTION LIMITED,2025-11-11
Panel of Suppliers for the Provisions of Floor Coverings - Supply and Fit - AWARD,0.0,CROWN FLOORING LTD,2025-11-10
Panel of Suppliers for the Provisions of Floor Coverings - Supply and Fit - AWARD,0.0,HICKS FLOORING LTD,2025-11-10
Concessionary Travel,500000.0,NEC SOFTWARE SOLUTIONS,2025-11-10
36624 - Elmbrook School,32760.0,EVEREST TAXIS,2025-11-10
Connection of Flax Place to the Leeds PIPES network,289436.37,VITAL ENERGI UTILITIES LTD,2025-11-10
Panel of Suppliers for the Provisions of Floor Coverings - Supply and Fit - AWARD,0.0,JWR FLOORING LIMITED,2025-11-10
Panel of Suppliers for the Provisions of Floor Coverings - Supply and Fit - AWARD,0.0,PRESTIGE FLOORING LTD,2025-11-10
Panel of Suppliers for the Provisions of Floor Coverings - Supply and Fit - AWARD,0.0,WALL 2 WALL (BOLTON) LTD,2025-11-10
MWF Lot 7 (DA) Milestones Museum - Fire Alarm and PA System Repair and  Upgrade - AWARD,48305.66,CORRIGENDA LTD TRADING AS CHURCHES,2025-11-10
Archaeological Framework - Fragile Assets Assessment,496855.0,ARCHAEOLOGICAL MANAGEMENT SOLUTIONS,2025-11-10
Extension of contract for Smartcard Services for English National Concessionary Fares and associated Services,436000.0,EUCLID LIMITED,2025-11-10
CCHA Fire Door Replacement Project 25-26,309764.73,CLC CONTRACTORS LIMITED,2025-11-10
Panel of Suppliers for the Provisions of Floor Coverings - Supply and Fit - AWARD,0.0,DS FLOORING SOLUTIONS LTD,2025-11-10
DA from RM1557.14 CCS G Cloud 14 FW for the Bereavement Management Software,149794.0,GSS (NI) LIMITED,2025-11-10
CPT_25_27 - Social media analytics and listening 2025-27,64800.0,PULSAR,2025-11-08
GB-Colindale: TFH Type 1 Fire Remediation Works 2025,821294.71,W.G.WIGGINTON LIMITED,2025-11-07
684 - Wigan Beech Hill Active Travel Scheme,57600.0,WSP UK LIMITED,2025-11-07
3 x Local Neighbourhood Road Safety Scheme Design Consultancy,69999.0,BAKER HICKS LTD,2025-11-07
General Building Works (Major Work Voids),500000.0,TOTAL CONSTRUCTION NE LTD,2025-11-07
Provision of Google Cloud Renewal,3600.0,GOOGLE CLOUD EMEA LIMITED,2025-11-07
GB-Colindale: SHDF Wave 3 Consultant - Retrofit Services,445400.0,SAVILLS (UK) LIMITED,2025-11-06
Liverpool Clean Air Plan - Monitoring & Evaluation,526176.63,CITY SCIENCE CORPORATION LIMITED,2025-11-06
Moorfield Primary School - PCSA (con_29542),1500303.06,TILBURY DOUGLAS,2025-11-06
RDE966 - CECAN Fellowship Evaluation Project,15300.0,ICF CONSULTING SERVICES LIMITED,2025-11-06
PSU Gloves,35000.0,MICHAEL LUPTON ASSOCIATES,2025-11-06
NEPRO3- Assess physical demand of police roles and  recommendation of testing methodology,183215.0,BLOOM PROCUREMENT SERVICES LTD,2025-11-06
CBC-1845-Q-SA Choose You - healthy weight programme video shorts   - AWARD,19997.0,WE CAN CREATIVE LTD.,2025-11-06
FPH - NC - Arietta 65 Maintenance Contract,41881.02,NHS SUPPLY CHAIN,2025-11-05
Document Controller,51094.4,WATERMAN ASPEN LTD,2025-11-05
RDE951 - Sustainable Transitions in Outdoor Pig Production: Economic Evaluation,46275.0,RICARDO-AEA LTD,2025-11-05
Pitched Roof Replacement at Warminster Hospital (2),231674.82,SEVILLE DEVELOPMENTS LIMITED,2025-11-04
Data Virtualisation -Data Bridge,4205210.0,ACCENTURE (UK) LTD,2025-11-04
Tenants' Contents Insurance Jan26 - South Derbyshire District Council - awarded,21407.57,ROYAL AND SUN ALLIANCE INSURANCE LIMITED,2025-11-04
ITT for Project 10170250,1500.0,MOTT MACDONALD LIMITED,2025-11-04
ITT for Project 10170459,1500.0,MOTT MACDONALD LIMITED,2025-11-04
Procurement Support Roles for the Consultancy and Skilled Persons Framework,313014.0,CAPITA BUSINESS SERVICES LTD,2025-11-03
Defining and Quantifying Extra Support Needs,380000.0,NATCEN SOCIAL RESEARCH,2025-11-03
RDE847 - An economic appraisal of impacts caused by beavers on farm businesses a,98063.0,RSK ADAS LIMITED,2025-11-03
Provision of BMC Professional Services,143526.0,SOFTCAT PLC,2025-11-02
Website governance tool,35000.0,SITEIMPROVE LTD,2025-11-02
Horticultural Services Contract,600000.0,TIVOLI,2025-11-01
Drainage Clearance and CCTV Inspection for SDDC Housing Stock,240000.0,DALROD UK LTD,2025-11-01
Project management tool,29998.0,ASANA SOFTWARE UK LIMITED,2025-10-31
LEASE AND SUPPORT OF MULTI-FUNCTIONAL DEVICES (MFDS) WITH PRINT MANAGEMENT SOFTWARE,41796.0,RICOH UK LTD,2025-10-31
Financial Planning & Forecasting Software,1912190.18,ANAPLAN LIMITED,2025-10-31
IT Business Analyst,61200.0,SEARCH CONSULTANCY LIMITED,2025-10-31
YHG Testing Services 25-27,1000000.0,EDGE TESTING SOLUTIONS LIMITED,2025-10-31
Lone Worker Safety Solution,295680.0,SKYGUARD LIMITED,2025-10-30
CPT_25_42 - Reinforcement learning platform for audit staff (C-4018),240000.0,SOFTCAT PLC,2025-10-30
Security Operations,511484.0,ASPIRE TECHNOLOGY SOLUTIONS LTD,2025-10-29
PT Insight - supply and support,87500.0,SYSTRA LIMITED,2025-10-29
North Northamptonshire Council's Construction of a Concrete Skatepark  at Bassetts Park,160960.0,BENDCRETE LEISURE LIMITED,2025-10-28
Wide Area Network Services,1315564.15,MLL TELECOM LTD,2025-10-28
Contract Award for the Provision of a Reablement App,225000.0,NEWTON CONSULTING LIMITED,2025-10-28
External Legal Services,870000.0,VEALE WASBROUGH VIZARDS LLP,2025-10-28
External Legal Services,870000.0,PINSENT MASONS LLP,2025-10-28
External Legal Services,870000.0,BRODIES LLP,2025-10-28
External Legal Services,870000.0,BEVAN BRITTAN LLP,2025-10-28
External Legal Services,870000.0,FREETHS LLP,2025-10-28
External Legal Services,870000.0,BROWNE JACOBSON LLP,2025-10-28
External Legal Services,870000.0,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,2025-10-28
Resilience Tooling Retender,309575.0,SOFTCAT LTD - FCA,2025-10-27
GB-Godalming: TPPL Waverley Borough Council NEPO GM & P Lot 1 - 1 x Tractor + Attachments (New) (28088),272813.0,LISTER WILDER,2025-10-27
Supply of services  - Secure Parking & Storage Limited,203239.27,SECURE PARKING & STORAGE LTD,2025-10-25
Thurston Community College - PCSA (con_29632),3497808.08,BOWMER & KIRKLAND LTD,2025-10-24
"GB-Milton Keynes: Provision and Lease of Franking Machines, Mailroom Equipment, and Associated Consumables",42000.0,QUADIENT UK LIMITED,2025-10-24
Ashley High School Single Storey Extension to school with further classroom provision,1515701.0,WHITFIELD AND BROWN,2025-10-24
Provision of Storage as a Service from Pure Storage,1951158.36,SOFTCAT PLC,2025-10-24
Evaluation of Net Zero Regional Accelerator,39580.0,STEER DAVIES AND GLEAVE LIMITED,2025-10-23
Security Operation Centre,119829.0,ANS GROUP,2025-10-23
DSIT - Talent Attraction,16250.0,CODE FIRST GIRLS LIMITED,2025-10-23
Provision of Oracle Technical Support Services,30310.28,ORACLE CORPORATION UK LIMITED,2025-10-23
Demolition and enabling works contract for The Tropicana,450417.0,OVERBURY PLC,2025-10-22
DN763872 - Electrical Safety Programme Contract A (North of the borough),2174820.0,NRT BUILDING SERVICES GROUP LTD,2025-10-21
Commercial Gas Service - AWARD,0.0,HAYMAN MECHANICAL SERVICES LTD,2025-10-21
DN763872 - Electrical Safety Programme Contract B (South of the borough),2795735.0,PILON LTD,2025-10-21
"Asbestos, Legionella & Mould RA L1.1 Nov25  - Eden Housing Association - awarded",155805.99,TERSUS CONSULTANCY LTD,2025-10-21
PAN3414 - Duns Lane/Braunstone Gate,97148.85,HOLCIM,2025-10-21
Godstone SEROC Construction Contract,10827286.0,TILBURY DOUGLAS CONSTRUCTION LIMITED,2025-10-20
DR services,108000.0,SECURITY SOFTWARE SOLUTIONS LTD,2025-10-20
HDS Access to Work DISC Refactor Build,2200000.0,IBM UNITED KINGDOM LTD,2025-10-20
Azure Cloud SaaS,1890000.0,SOFTCAT PLC,2025-10-20
No Access Stock condition Surveys,134190.0,RAPLEYS LLP,2025-10-19
Refurbishment of Hillingdon Civic Centre Quadrants 3E & 3S,130680.0,ALLEN CONSTRUCTION CONSULTANCY LIMITED,2025-10-19
TEN-2324-016 Call-Off Contract [2],488100.0,-	HYMANS ROBERTSON LLP,2025-10-17
TEN-2324-016 Call-Off Contract [2],488100.0,HYMANS ROBERTSON LLP,2025-10-17
Horndean CE Junior School - PCSA (con_29628),818220.31,WILLMOTT DIXON CONSTRUCTION LTD,2025-10-16
Cyber Security 24x7x365 Managed Detection and Response,626064.5,SOCURA LIMITED,2025-10-16
ITT for Project 10173490,1500.0,FIVE POINTS DIGITAL HEALTH LTD,2025-10-15
ITT for Project 10170024,1500.0,JOHN HEYWOOD CONSULTING,2025-10-15
GMCA 1265.4 Consultancy Services to Determine Routes to Market to Deliver Decarbonisation Opportunities,50000.0,CARBON TRUST ADVISORY LIMITED,2025-10-14
Contingency Response Programme - Package 3,245680004.75,KIER CONSTRUCTION LIMITED,2025-10-13
Provision of Global Booked Travel Services for UKEF,10000000.0,CLARITY TRAVEL LIMITED,2025-10-13
W169502 Workforce Transformation Assurance Services,2957037.0,CAPGEMINI UK PLC,2025-10-13
WCC - Server Hardware Maintenance & Repair Services,40500.0,XMA LIMITED,2025-10-10
DSA - CCTV Drainage Survey,90000.0,WCG ENVIRONMENTAL LTD,2025-10-10
36563 Herrick Primary,36.47,HMB TAXIS,2025-10-10
36564 Keyham Lodge,26910.0,ONE EXPRESS,2025-10-10
Maintenance of Artis Zee Multi-Purpose Scanner,69638.8,NHS SUPPLY CHAIN MAINTENANCE CONTRACTS,2025-10-10
"Office refurbishment works Public Service Centre, Tewkesbury. - AWARD",0.0,SNAPE CONTRACTING SERVICES LTD,2025-10-10
MWF - Lot 6 (DA) - Petersfield Library - Boiler Flue Remedial Works - AWARD,6823.06,INDUSTRIAL (BOILER & CONTRACT) SERVICES LTD,2025-10-10
36565 Children's Hospital,33228.0,SKYLINE TAXIS,2025-10-10
36561 - SPARK VALE ACADEMY,25740.0,EVEREST TAXIS,2025-10-10
Homes England - Annual Subscription for Beauhurst Impact (G-CLoud 14 Lot:2),73500.0,BEAUHURST,2025-10-10
Five Rivers Multi-Academy Trust Primary Alternative Provision,1387750.0,FIVE RIVERS MULTI ACADEMY TRUST,2025-10-10
"MWF Lot 1 Main Kitchen Refurbishment, Kershaw Day Centre - AWARD",65292.91,B & M CLARK (BUILDERS) LTD,2025-10-10
L-375.1 UPTON GREEN PLAY AREA  & CROW WOOD PARK WORKS,29898.0,GROUND INC LTD,2025-10-10
SLH - External and Internal Repairs and Improvement Works,20000000.0,EQUANS REGENERATION LIMITED,2025-10-10
S30006 Road Safety Guidance,97304.3,OVE ARUP,2025-10-10
Pan London Sexual Violence Support Service,65387492.0,SURVIVORS UK,2025-10-09
Pan London Sexual Violence Support Service,65387492.0,"LESBIAN, GAY AND BISEXUAL ANTI VIOLENCE AND POLICING GROUP",2025-10-09
Pan London Sexual Violence Support Service,65387492.0,THE NIA PROJECT,2025-10-09
Pan London Sexual Violence Support Service,65387492.0,RAPE CRISIS SOUTH LONDON,2025-10-09
Pan London Sexual Violence Support Service,65387492.0,RESPOND,2025-10-09
Pan London Sexual Violence Support Service,65387492.0,WOMEN AND GIRLS NETWORK,2025-10-09
FURTHER COMPETITION conducted under ESPO Framework Agreement 220_24 De-icing Salt & Associated Products/Services - AWARD,575000.0,COMPASS MINERALS,2025-10-09
Pan London Sexual Violence Support Service,65387492.0,SOLACE WOMEN'S AID,2025-10-09
Health and financial claims in programming - audience attitudes to potential harm,131695.0,IPSOS UK,2025-10-09
Contract Award,750000.0,JONES LANG LASALLE,2025-10-09
S106 Viability Appraisals Final,200000.0,CP VIABILITY LTD,2025-10-08
Asbestos Services,240000.0,TERSUS CONSULTANCY LTD,2025-10-08
Professional Services - Technical Advisor CDC Boston,42200.0,HULLEY AND KIRKWOOD CONSULTING ENGINEERS LIMITED,2025-10-08
ITT or Project 10170974,1500.0,VODERA LIMITED,2025-10-07
Fire Compartmentation Work,59247.0,ABCA SYSTEMS LIMITED,2025-10-07
ITT for Project 10171306,1500.0,PERCEPTIVE CHANGE LIMITED,2025-10-07
ITT for Project 10172765,1500.0,BROCKSMOOR PROJECTS LIMITED,2025-10-07
ITT for Project 10172812,1500.0,BROCKSMOOR PROJECTS LIMITED,2025-10-07
ITT for Project 10173426,1000.0,SNOWFLOW AI LTD,2025-10-06
Dutch River (left-bank): Went Outfall to River Ouse Confluence (Design Support),62574.0,OVE ARUP & PARTNERS LIMITED,2025-10-06
"HDC Civic Suite hardware Replacement, (Supply, Fitting and Maintenance)",206659.0,VP-AV LIMITED,2025-10-06
ITT for Project 10172877,1500.0,PRISM NOVA LIMITED,2025-10-06
ITT for Project 10172056,1500.0,JONATHAN NAKOUZI,2025-10-06
ITT for Project 10171936,1500.0,JONATHAN NAKOUZI,2025-10-06
ITT for Project 10173019,1500.0,SNOWFLOW AI LTD,2025-10-06
ITT for Project 10171694,1500.0,ECONOMIC & HUMAN VALUE ENGINEERING LTD,2025-10-06
ITT for Project 10172849,1500.0,PRISM NOVA LIMITED,2025-10-06
ITT for Project 10171915,1500.0,PERCEPTIVE CHANGE LIMITED,2025-10-06
Temporary Recruitment,51750.0,IVY ROCK PARTNERS LTD,2025-10-06
IP&EMPI (HealthShare and IRIS for Health Licenses) and DMS-IX (IRIS for Health Licenses) FY25-30,6173707.0,INTERSYSTEMS CORPORATION,2025-10-03
Croydon Business Support Programme - AWARD,0.0,CROYDON BUSINESS VENTURE LTD,2025-10-03
HMLR701062 - Employee Assistance Programme (EAP),180000.0,PEOPLE ASSET MANAGEMENT LIMITED,2025-10-02
Contract Award Notice for Contract 715210450_Smarter Working Furniture,168522.7,WAGSTAFF BROTHERS LIMITED,2025-10-02
EE Mobile SIM Connectivity,1000097.0,BRITISH TELECOMMUNICATIONS PLC,2025-10-02
People Survey 25/26 Extension,41034.0,WORKDAY LIMITED,2025-10-01
Consultant Clinical Psychologist Provision for Adopt South,99000.0,NURTURING MINDS PSYCHOLOGY LIMITED,2025-10-01
Stock Condition Surveys,4500000.0,ARK CONSULTANCY LTD,2025-10-01
Data Warehouse Expansion,96652.02,DELL CORPORATION LIMITED,2025-10-01
Asset Management System - Yotta,58230.38,CAUSEWAY TECHNOLOGIES LTD,2025-10-01
PCSA Front Gates - Brixton PS/ Chingford PS/ Harlesden PS/ Notting Hill PS/ Warspite Road PS,133097.78,SW BRUCE & CO. LTD,2025-10-01
PCSA Front Gates Phase 2 - Coniston,149992.13,CONISTON LIMITED,2025-10-01
Stock Conditions Survey,1192458.0,PELLINGS LLP,2025-10-01
Stock Conditions Survey,1028582.0,BAILY GARNER,2025-10-01
Lot 4 - Tameside Metropolitan Borough Council,21660.0,MD ABEDIN,2025-09-30
Electronic Driver Licence Checking System,72828.0,DRIVERCHECK LTD,2025-09-30
TEN-2526-001 - Travel Services,780000.0,WORLD TRAVEL CENTRE TRADING AS SELECTIVE TRAVE,2025-09-30
Flood Risk Management resource (Call from MHA Framework),863831.68,WATERMAN ASPEN LTD,2025-09-30
ENHT - Health and Social Care Network (HSCN),760000.0,REDCENTRIC SOLUTIONS LIMITED,2025-09-30
Fidelity Guarantee Insurance,33670.56,ZURICH INSURANCE,2025-09-30
"EE334, 0900 2025-09-25, Mellis to Occold Primary School (4 seats) - AWARD",102075.6,YOURCAB LIMITED,2025-09-26
"EE334, 0900 2025-09-25, Mellis to Occold Primary School (4 seats) - AWARD",102075.6,UNIVERSAL CABS LTD,2025-09-26
"QIP931 0900 2025-09-25 Woodbridge - Include, Ipswich (4-seated vehicle and a PA required) - AWARD",79839.9,ROYAL RIDES,2025-09-26
"IP250, 0900 2025-09-25, Kesgrave - Piper's Vale Primary Academy, Ipswich (4 seats) - AWARD",7885.0,HAWK EXPRESS CABS LTD,2025-09-25
"IP250, 0900 2025-09-25, Kesgrave - Piper's Vale Primary Academy, Ipswich (4 seats) - AWARD",7885.0,FOTIK MIAH T/A A2Z TRANSPORT,2025-09-25
Pickerings Pasture - New Café Provision,554290.0,WHITFIELD AND BROWN,2025-09-25
RUGCON - Revenues and Benefits System,622500.0,CIVICA UK LIMITED,2025-09-25
LCF14 - Calthorpe Park Play Area Improvement Works - AWARD,145079.0,HAYSTOUN CONSTRUCTION LTD,2025-09-25
Homes England - Hodson's Mill - Property Services,60000.0,MONTAGU EVANS,2025-09-24
Level 3 Team Leader Apprenticeship ST0384 and Level 5 Operations Manager Apprenticeship ST0385,2130000.0,CORNDEL,2025-09-23
Provision of Network Management Licenses and Hardware Support,50731.58,SOFTCAT PLC,2025-09-23
NH2012 - Cobalt Refurbishment Phase 3,79963.72,"H.JENKINSON & COMPANY,LIMITED",2025-09-18
RUGCON - Work Services Unit Depot Reconfiguration,133198.51,O'BRIEN CONTRACTORS LIMITED,2025-09-18
Purchase of HP Workstations,29000.0,XOS GROUP LIMITED,2025-09-16
Probate Researchers Services,125000.0,FINDERS GENEALOGISTS LTD,2025-09-15
Probate Researchers Services,125000.0,FRASER AND FRASER,2025-09-15
"QIP683 0900 2025-09-15 Leiston - Reboot education, Ipswich (4-seated vehicle required) - AWARD",11802.42,HAWK EXPRESS CABS LTD,2025-09-15
Probate Researchers Services,125000.0,ANGLIA RESEARCH,2025-09-15
Provision of Digital Prevention Services Technical Leadership and Product Management Capability Support,1250404.0,AXIOLOGIK LIMITED,2025-09-15
"QIP683 0900 2025-09-15 Leiston - Reboot education, Ipswich (4-seated vehicle required) - AWARD",11802.42,A2B  UK TRAVEL LIMITED,2025-09-15
Purchase of Three (3) x Medium Sized Cars and Six (6) x Small Cars,152655.44,TOYOTA GB LIMITED,2025-09-15
"C0109 -Branded merchandise, print, storage and distribution",600000.0,ALLIED PUBLICITY SERVICES (MANCHESTER) LIMITED,2025-09-15
PAHT - Paediatric Emergency Department Construction Stage Quantity Surveying,50000.0,CASTONS CONSULTING LIMITED,2025-09-15
"Amendment C0109 -Branded merchandise, print, storage and distribution",600000.0,ALLIED PUBLICITY SERVICES (MANCHESTER) LIMITED,2025-09-15
Gosforth Public Hall - Renovation & Extension Works,985941.0,ROLAND HILL (PARSONBY) LIMITED,2025-09-12
Secondment personnel supply,45000.0,ASHURST LLP,2025-09-12
Restart Scheme Extension Customer Satisfaction Survey,256149.0,IFF RESEARCH LTD,2025-09-12
Act in a Box Additional Scenarios,56500.0,SUB 10 LTD,2025-09-12
Coopers Walk Internal and External Works - AWARD,0.0,HEXA PROJECTS LTD,2025-09-12
Financial Transaction Processing (Middle Office) Service,59410000.0,LIBERATA UK LIMITED,2025-09-12
36472 - LEICESTER COLLEGE,33.4,AZOOM TAXI,2025-09-11
CA16438 - MAINT5714-RFL-Vitaldata Software Maintenance,40619.0,VITALPULSE LTD,2025-09-11
CA15266 - Communications Solutions,3000000.0,START COMMUNICATIONS GROUP LTD,2025-09-11
A27 Polthooks Cutting - Ground Investigation,178142.14,BAM NUTTALL LTD,2025-09-11
"2025-09-10 09:00 - QBE303 South Bury St Edmunds to Innov8 Workshops, Rougham - AWARD",6347.52,ALL DAY CARS,2025-09-11
"2025-09-10 09:00 - QBE296 Woolpit to Innov8 Workshops, Rougham - AWARD",7802.16,ALL DAY CARS,2025-09-11
CA15266 - Communications Solutions,3000000.0,EXCHANGE COMMUNICATIONS LIMITED,2025-09-11
CA15266 - Communications Solutions,3000000.0,DAISY COMMUNICATIONS,2025-09-11
CA15266 - Communications Solutions,3000000.0,TALK STRAIGHT LTD,2025-09-11
CA15266 - Communications Solutions,3000000.0,CLARION COMMUNICATION SYSTEMS,2025-09-11
"2025-09-10 09:00 - QBE301 Haverhill to Innov8 Workshops, Rougham - AWARD",6876.48,KEMAL  IPEK T/A SMART TRAVEL,2025-09-11
HRA Right to Buy Valuations,28000.0,HORTS ESTATE AGENCY LIMITED,2025-09-11
CA15266 - Communications Solutions,3000000.0,TEL GROUP LTD,2025-09-11
CA15266 - Communications Solutions,3000000.0,AVOIRA LIMITED,2025-09-11
CA15266 - Communications Solutions,3000000.0,CURRYS T/A CURRYS BUSINESS,2025-09-11
CA15266 - Communications Solutions,3000000.0,GLIDE,2025-09-11
CA15266 - Communications Solutions,3000000.0,SOUTHERN COMMUNICATIONS CORPORATE SOLUTIONS,2025-09-11
CA15266 - Communications Solutions,3000000.0,ABZORB LTD,2025-09-11
CST025-108 Provision of Apprenticeship (Solicitor Level 7),81000.0,NOTTINGHAM TRENT UNIVERSITY,2025-09-11
CA15266 - Communications Solutions,3000000.0,RYDAL COMMUNICATIONS,2025-09-11
Intruder Alarm Maintenance - AWARD,0.0,IPS FACILITIES LIMITED,2025-09-11
PDF - A14 40.1 Nene Viaduct FIP Joint Replacement - Construction - 611626,185722.65,EUROVIA INFRASTRUCTURE LIMITED,2025-09-11
"2025-09-10 09:00 - QBE299 South Bury St Edmunds to Innov8 Workshops, Rougham - AWARD",8755.2,ALL DAY CARS,2025-09-11
Contract Award Notice - Michelham Priory Reservoir _ECC PM Services,71310.34,AECOM LTD,2025-09-11
Student Bus Tickets EYMS,180000.0,EYMS GROUP,2025-09-11
"QIP878 0900 2025-09-11 Ipswich to Thomas Wolsey Ormiston Academy, Thomas Wolsey School, Defoe Rd, Ipswich IP1 6SG (6-seater vehicle with electric tail lift and Passenger assistant) - AWARD",142500.0,ALBANY TRAVEL (IPSWICH) LTD,2025-09-11
LCF13R - Queen's Park Landscape Improvements - LCF 2024-28 - AWARD,73611.0,HAYSTOUN CONSTRUCTION LTD,2025-09-11
36472 LEICESTER COLLEGE,20.0,ADAM'S TRANSPORT,2025-09-11
RDE868 - Development of novel DNA-based metrics and indicators to assess the eco,31963.81,UK CENTRE FOR ECOLOGY & HYDROLOGY (UKCEH),2025-09-10
RDE912 - Ammonia from road traffic - further assessment of modelling methodologi,24907.5,BUREAU VERITAS UK LIMITED,2025-09-10
ITEP1026 SWIS Severe Weather Information Service,936513.0,CIVICA UK LTD.,2025-09-10
Provision of Personal Protective Equipment (PPE) in Approved FSA Establishments,1873444.6,ARCO LIMITED,2025-09-10
"Repairs, call outs, reactive and planned for roofing",263157.89,CENTRAL ROOFING,2025-09-10
Anti-ligature Safety Audit Remedial Works,22092.18,CUSTOM GROUP LIMITED,2025-09-10
Aluminium Pole Supply for Traffic Signal Installations,210000.0,NULITE LIGHTING LTD,2025-09-09
Provision of Water Temperature Sensors at Various Sites,153950.0,CREEVX LIMITED,2025-09-09
Fortis Academy - PCSA (con_29636),4383480.52,BOWMER & KIRKLAND LTD,2025-09-08
PAN3223 - Asbestos Analytical Services,412995.1,BDA SURVEYING LTD,2025-09-08
CSP25348 - Administrator,26984.16,REED SPECIALIST RECRUITMENT  LIMITED,2025-09-08
CSP25347 - Administrator,30624.88,REED SPECIALIST RECRUITMENT  LIMITED,2025-09-08
IT410 Tortus Ambient Voice,22500.0,TORTUS AI LTD,2025-09-05
Credit Checking Service for Government Gateway,1200000.0,EQUIFAX LIMITED,2025-09-05
NDA/C17430/13 -  Pu Active SEM,114835.96,NATIONAL NUCLEAR LABORATORY,2025-09-05
"QOC823 2025-09-03 Beccles to Sense Centre Aldeby, Aldeby, Norfolk (4 seated vehicle with passenger assistant) - AWARD",18240.0,PJ WAYLAND'S LTD,2025-09-04
1997 IT Hardware for NHS Black Country Integrated Care Board,57395.9,CDW LIMITED,2025-09-04
"QLT034 2025-08-04 (0900) Oulton to Warren School, Lowestoft (6 seated wheelchair accessible vehicle with a passenger assistant) - AWARD",166250.0,OCEAN CABS (ANGLIA) LTD,2025-09-03
"QIP393 2025-08-28 (0900) Felixstowe to Kesgrave High School, Kesgrave (4 seated vehicle) - AWARD",23560.0,CABS SMART,2025-09-03
DHSC - ASC: Interoperability and Architecture platform - Discovery,1000000.0,SOFTCAT PLC,2025-09-02
UWQ318 - Signage - AWARD,90000.0,DMA SIGNS LIMITED,2025-09-02
Understanding consumer experiences of mobile network quality,60351.0,JIGSAWUK,2025-09-02
Provision of Firewall Hardware Support and Maintenance,82984.37,SOFTCAT PLC,2025-09-02
Children and Adults Trial Default Safety Settings,115655.27,VERIAN GROUP UK LTD,2025-09-02
Homecare framework,95000000.0,SUPREME COMPANY AND SONS LTD (T/A SUPREME HOME CARE),2025-09-01
Homecare framework,95000000.0,CARONNE CARE LTD,2025-09-01
Homecare framework,95000000.0,DE VERE CARE PARTNERSHIP LTD,2025-09-01
Homecare framework,95000000.0,ASPIRE CARE SERVICES,2025-09-01
Homecare framework,95000000.0,SHREEJI INC LTD,2025-09-01
Homecare framework,95000000.0,HOME SWEET HOME CARE LIMITED,2025-09-01
Homecare framework,95000000.0,STAR CARE UK LTD,2025-09-01
Homecare framework,95000000.0,MIHOMECARE LIMITED,2025-09-01
Drainage,100000.0,RE-GEN (UK) CONSTRUCTION LTD,2025-09-01
Homecare framework,95000000.0,SHARING HEALTHCARE LTD,2025-09-01
Umbraco Support and Maintenance,42000.0,NEXER DIGITAL LTD,2025-09-01
NDA/C17430/14 - Technical Knowledge Exchange Meeting,28161.44,NATIONAL NUCLEAR LABORATORY,2025-09-01
RDE915 - Modelling the plausible locations of sanctuary zones for red throated,89980.0,HOWELL MARINE CONSULTING,2025-09-01
Joint Contract SettleParadigm - Brands with values,19460.0,BRANDS WITH VALUES,2025-08-30
Provision of Digital Accessibility Services,150000.0,DIGITAL ACCESSIBILITY CENTRE,2025-08-29
Voucher Scheme Platform 2025,540000.0,HUGGG LTD,2025-08-29
Tail Spend Solution,600000.0,UNITE PROCUREMENT UK LTD,2025-08-29
"IP451, 0900 2025-08-27, Witnesham - Tuddenham St Martin - Ormiston Endeavour Academy, Ipswich (4 seats) - AWARD",55575.0,HUNTEREXPRESS LTD,2025-08-28
Asbestos Awareness Training - CF Awarded Contract,61000.0,LUCION SERVICES LIMITED,2025-08-28
"IP451, 0900 2025-08-27, Witnesham - Tuddenham St Martin - Ormiston Endeavour Academy, Ipswich (4 seats) - AWARD",55575.0,IP EXPRESS CABS,2025-08-28
"QIP995 0900 2025-08-20 Campsea Ashe- Reboot education, Ipswich (4-seated vehicle and a PA required) - AWARD",12927.6,NICE TRAVEL SOLUTIONS LIMITED,2025-08-27
Microsoft ESA & SCE Renewal,7216224.7,PHOENIX SOFTWARE LTD,2025-08-27
Minor Works Framework: Construction 2024,0.0,SCOPE CONSTRUCTION LTD,2025-08-27
DELIVERY MANAGER FOR THE CAMP HILL LINE - PACKAGES 1 AND 2,78000.0,MATCHTECH LIMITED,2025-08-27
Minor Works Framework: Construction 2024,0.0,PGR GROUP LIMITED,2025-08-27
Minor Works Framework: Construction 2024,0.0,CBES LIMITED,2025-08-27
Minor Works Framework: Construction 2024,0.0,BROWN AND SHAW (BUILDERS) LIMITED,2025-08-27
